기준_날짜,집계_기준,기준_시간대,시작_대여소_ID,시작_대여소명,종료_대여소_ID,종료_대여소명,전체_건수,전체_이용_분,전체_이용_거리
20231101,,1810,ST-725,,ST-965,,1,12,1780
20231101,,205,ST-882,,ST-724,,1,14,1783
20231101,,1935,ST-717,,ST-1548,,1,6,390
20231101,,1500,ST-2759,,ST-312,,1,5,968
20231101,,2210,ST-2502,,ST-249,,1,26,3048
20231101,,2305,ST-1819,,ST-1819,,1,0,0
20231101,,2030,ST-1851,,ST-1867,,1,10,1233
20231101,,1315,ST-446,,ST-111,,1,19,1776
20231101,,1950,ST-1447,,ST-276,,2,40,2675
20231101,,1855,ST-1364,,ST-2988,,1,25,4076
20231101,,2000,ST-2801,,ST-1983,,1,20,1965
20231101,,2045,ST-2905,,ST-2874,,1,6,1097
20231101,,710,ST-292,,ST-62,,1,21,3843
20231101,,755,ST-1722,,ST-1097,,1,34,6020
20231101,,2055,ST-1995,,ST-2017,,1,3,560
20231101,,845,ST-2547,,ST-2891,,1,5,759
20231101,,940,ST-10,,ST-555,,1,31,3990
20231101,,1325,ST-2206,,ST-3095,,1,14,1440
20231101,,940,ST-417,,ST-1972,,1,14,2003
20231101,,1410,ST-28,,ST-2531,,1,17,2737
20231101,,1340,ST-1067,,ST-2024,,1,4,635
20231101,,2055,ST-410,,ST-1300,,1,9,1450
20231101,,1745,ST-2177,,ST-683,,1,10,2089
20231101,,1100,ST-401,,ST-2280,,1,4,457
20231101,,2000,ST-1958,,ST-679,,1,12,1727
20231101,,1830,ST-3258,,ST-2508,,1,13,1467
20231101,,1710,ST-2945,,ST-2943,,1,9,1432
20231101,,1320,ST-2437,,ST-3135,,1,7,550
20231101,,1705,ST-398,,ST-398,,1,24,1501
20231101,,1855,ST-1982,,ST-1982,,1,8,717
20231101,,2205,ST-2011,,ST-2007,,1,12,1350
20231101,,1640,ST-1123,,ST-1123,,1,26,2582
20231101,,1855,ST-2920,,ST-294,,1,12,1890
20231101,,2240,ST-1199,,ST-107,,1,3,360
20231101,,945,ST-2986,,ST-2986,,1,16,1750
20231101,,1800,ST-1040,,ST-1042,,2,4,939
20231101,,1040,ST-668,,ST-1521,,2,9,1865
20231101,,840,ST-2371,,ST-717,,1,4,920
20231101,,605,ST-2216,,ST-232,,1,5,711
20231101,,1440,ST-834,,ST-2767,,1,28,8520
20231101,,2205,ST-919,,ST-2761,,1,33,3970
20231101,,2205,ST-3267,,ST-2501,,1,6,679
20231101,,815,ST-547,,ST-1584,,1,9,1521
20231101,,2315,ST-3098,,ST-492,,1,2,870
20231101,,1210,ST-1106,,ST-2237,,1,10,857
20231101,,1700,ST-237,,ST-1347,,1,24,3983
20231101,,1850,ST-2811,,ST-536,,1,27,4762
20231101,,1905,ST-1653,,ST-1339,,1,53,10133
20231101,,1910,ST-439,,ST-328,,1,2,0
20231101,,1330,ST-2014,,ST-2765,,1,3,530
20231101,,1345,ST-2070,,ST-2087,,1,6,1010
20231101,,605,ST-1819,,ST-1817,,1,1,280
20231101,,1935,ST-2810,,ST-2819,,1,15,2180
20231101,,145,ST-927,,ST-2659,,1,2,239
20231101,,2020,ST-2765,,ST-2765,,1,0,0
20231101,,1745,ST-50,,ST-278,,1,38,5110
20231101,,50,ST-2702,,ST-2074,,1,16,3810
